eventId,name,city,state,latitude,longitude,startDate,endDate,distance,url,types,firstDate,eventEndDate,staticUrl,isRegistrationOpen,openRegDate,closeRegDate,categories
68950,Afterglow at Big Marsh,Chicago,IL,41.6853025,-87.5763783,2025-06-22T00:00:00.000-04:00,2025-06-22T00:00:00.000-04:00,"1.5 miles, 5 km, 50 minutes, 45 minutes, 30 minutes",https://www.bikereg.com/afterglow,"Recreational, Cyclocross",2025-06-22T00:00:00.000-04:00,2025-06-22T00:00:00.000-04:00,https://www.bikereg.com/68950,True,2025-01-12T18:00:00.000-05:00,2025-06-21T23:00:00.000-04:00,"[{'name': '5k Run/Walk', 'startTime': '2024-06-01T11:00:00.000-04:00', 'distance': '5', 'RegistrationCount': 10, 'tags': []}, {'name': '1.5 mile Walk/Roll', 'startTime': '2024-06-01T11:05:00.000-04:00', 'distance': '1.5', 'RegistrationCount': 6, 'tags': []}, {'name': 'Serious Bike Race', 'startTime': '2025-06-22T12:00:00.000-04:00', 'distance': '50', 'RegistrationCount': 14, 'tags': []}, {'name': 'Medium Serious Bike Race', 'startTime': '2024-06-01T13:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 22, 'tags': []}, {'name': 'Community Fun Ride Led by Champions of Big Marsh Park', 'startTime': '2025-06-22T15:00:00.000-04:00', 'distance': '45', 'RegistrationCount': 9, 'tags': []}, {'name': 'Youth Bike Event', 'startTime': '2025-06-22T14:00:00.000-04:00', 'distance': None, 'RegistrationCount': 8, 'tags': []}]"
71320,Summer Dirt Crit #1 Two Rivers MTB Park,Highlandville,MO,36.9578992,-93.3555652,2025-07-08T00:00:00.000-04:00,2025-07-08T00:00:00.000-04:00,"2 laps, 1 laps, 30 minutes",https://www.bikereg.com/summer-dirt-crit-1,"Mountain Bike, Cyclocross",2025-07-08T00:00:00.000-04:00,2025-07-08T00:00:00.000-04:00,https://www.bikereg.com/71320,True,2025-05-27T01:15:00.000-04:00,2025-07-08T16:00:00.000-04:00,"[{'name': 'Boys Ages 8 & Under', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '1', 'RegistrationCount': 1, 'tags': ['junior']}, {'name': 'Girls Ages 8 & Under', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '1', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Boys Ages 9 - 12 ', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '2', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Girls Ages 9 - 12', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '2', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Junior Boys Ages 13 - 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 1, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Girls Ages 13- 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Boys Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': 'Junior Girls Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': ' Beginner Cat 3 Men', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_3', 'beginner']}, {'name': 'Beginner Cat 3 Women', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_3', 'beginner']}, {'name': 'Sport Cat 2 Men', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_2', 'sport']}, {'name': 'Sport Cat 2 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_2', 'sport']}, {'name': 'Elit Cat 1 Men', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_1']}, {'name': 'Elit Cat 1 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_1']}]"
71321,Summer Dirt Crit #2 Fellows Lake Valhalla,Springfield,MO,37.3086984672849,-93.1851165453153,2025-07-15T00:00:00.000-04:00,2025-07-15T00:00:00.000-04:00,"30 miles, 3 laps, 2 laps, 30 minutes",https://www.bikereg.com/summer-dirt-crit-2,"Mountain Bike, Cyclocross",2025-07-15T00:00:00.000-04:00,2025-07-15T00:00:00.000-04:00,https://www.bikereg.com/71321,True,2025-05-27T01:15:00.000-04:00,2025-07-15T16:00:00.000-04:00,"[{'name': 'Boys Ages 8 & Under', 'startTime': '2024-07-16T18:00:00.000-04:00', 'distance': '2', 'RegistrationCount': 1, 'tags': ['junior']}, {'name': 'Girls Ages 8 & Under', 'startTime': '2024-07-16T18:00:00.000-04:00', 'distance': '2', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Boys Ages 9 - 12 ', 'startTime': '2024-07-16T18:00:00.000-04:00', 'distance': '3', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Girls Ages 9 - 12', 'startTime': '2024-07-16T18:00:00.000-04:00', 'distance': '3', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Junior Boys Ages 13 - 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 1, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Girls Ages 13- 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Boys Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': 'Junior Girls Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': ' Beginner Cat 3 Men', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_3', 'beginner']}, {'name': 'Beginner Cat 3 Women', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_3', 'beginner']}, {'name': 'Sport Cat 2 Men', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_2', 'sport']}, {'name': 'Sport Cat 2 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_2', 'sport']}, {'name': 'Elit Cat 1 Men', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_1']}, {'name': 'Elit Cat 1 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_1']}]"
71322,Summer Dirt Crit #3 Sac River MTB Trails,Springfield,MO,37.28889138055,-93.3379421666177,2025-07-22T00:00:00.000-04:00,2025-07-22T00:00:00.000-04:00,"2 laps, 1 laps, 30 minutes",https://www.bikereg.com/summer-dirt-crit-sac-river,"Mountain Bike, Cyclocross",2025-07-22T00:00:00.000-04:00,2025-07-22T00:00:00.000-04:00,https://www.bikereg.com/71322,True,2025-05-27T16:00:00.000-04:00,2025-07-22T16:30:00.000-04:00,"[{'name': 'Boys Ages 8 & Under', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '1', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Girls Ages 8 & Under', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '1', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Boys Ages 9 - 12 ', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '2', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Girls Ages 9 - 12', 'startTime': '2024-07-09T18:00:00.000-04:00', 'distance': '2', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Junior Boys Ages 13 - 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 1, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Girls Ages 13- 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Boys Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': 'Junior Girls Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': ' Beginner Cat 3 Men', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_3', 'beginner']}, {'name': 'Beginner Cat 3 Women', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_3', 'beginner']}, {'name': 'Sport Cat 2 Men', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_2', 'sport']}, {'name': 'Sport Cat 2 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_2', 'sport']}, {'name': 'Elit Cat 1 Men', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_1']}, {'name': 'Elit Cat 1 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_1']}]"
71323,Summer Dirt Crit #4 Jorts Finale Kuat HQ,Springfield,MO,37.2395032047465,-93.370008827665,2025-07-29T00:00:00.000-04:00,2025-07-29T00:00:00.000-04:00,"30 miles, 30 minutes",https://www.bikereg.com/summer-dirt-crit-4,"Mountain Bike, Cyclocross",2025-07-29T00:00:00.000-04:00,2025-07-29T00:00:00.000-04:00,https://www.bikereg.com/71323,True,2025-05-27T01:15:00.000-04:00,2025-07-29T16:00:00.000-04:00,"[{'name': 'Boys Ages 8 & Under', 'startTime': '2024-07-30T18:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 1, 'tags': ['junior']}, {'name': 'Girls Ages 8 & Under', 'startTime': '2024-07-30T18:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Boys Ages 9 - 12 ', 'startTime': '2024-07-30T18:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Girls Ages 9 - 12', 'startTime': '2024-07-30T18:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_9_12']}, {'name': 'Junior Boys Ages 13 - 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 1, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Girls Ages 13- 15', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_13_15']}, {'name': 'Junior Boys Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': 'Junior Girls Ages 16 - 18', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior', 'age_16_18']}, {'name': ' Beginner Cat 3 Men', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_3', 'beginner']}, {'name': 'Beginner Cat 3 Women', 'startTime': '2024-07-09T18:45:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_3', 'beginner']}, {'name': 'Sport Cat 2 Men', 'startTime': '2024-07-30T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_2', 'sport']}, {'name': 'Sport Cat 2 Women', 'startTime': '2024-07-09T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_2', 'sport']}, {'name': 'Elite Cat 1 Men', 'startTime': '2024-07-30T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_1', 'elite']}, {'name': 'Elite Cat 1 Women', 'startTime': '2024-07-30T19:30:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_1', 'elite']}]"
70521,Cycle-Smart Cyclocross Camp,Southampton,MA,42.271001,-72.7171283,2025-08-02T00:00:00.000-04:00,2025-08-05T00:00:00.000-04:00,,https://www.bikereg.com/cycle-smart-cyclocross-camp,"Cycling Camp, Cyclocross",2025-08-02T00:00:00.000-04:00,2025-08-05T00:00:00.000-04:00,https://www.bikereg.com/70521,True,2025-05-01T00:15:00.000-04:00,2025-07-29T20:00:00.000-04:00,"[{'name': ""12-Week 'Cross Camp Training Program"", 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 2, 'tags': []}, {'name': 'Saturday/Sunday Skills Camp - All Ages', 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 21, 'tags': []}, {'name': 'Saturday/Sunday Skills Camp - All Ages Waitlist', 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}, {'name': 'Monday/Tuesday Training Camp', 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 6, 'tags': []}, {'name': 'Monday/Tuesday Training Camp Waitlist', 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}, {'name': 'Saturday/Sunday Skills Camp - Under 15 Years Old', 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 6, 'tags': []}, {'name': 'Saturday/Sunday Skills Camp - Under 15 Years Old Waitlist', 'startTime': '2025-06-13T23:59:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}]"
71084,DC Cyclocross Clinic 2025,Hyattsville,MD,38.9528172,-76.9521133,2025-08-09T00:00:00.000-04:00,2025-08-09T00:00:00.000-04:00,,https://www.bikereg.com/dc-cyclocross-clinic,"Cycling Camp, Cyclocross, MABRA",2025-08-09T00:00:00.000-04:00,2025-08-09T00:00:00.000-04:00,https://www.bikereg.com/71084,True,2025-06-04T08:00:00.000-04:00,2025-08-07T17:00:00.000-04:00,"[{'name': 'Beginners Clinic', 'startTime': '2025-08-09T09:00:00.000-04:00', 'distance': None, 'RegistrationCount': 4, 'tags': ['beginner']}, {'name': 'Experienced Clinic', 'startTime': '2025-08-09T09:00:00.000-04:00', 'distance': None, 'RegistrationCount': 1, 'tags': []}, {'name': 'Beginners Clinic Waitlist', 'startTime': '2025-08-09T09:00:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': ['beginner']}, {'name': 'Experienced Clinic Waitlist', 'startTime': '2025-08-09T09:00:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}]"
70482,CXpreX,Ann Arbor,MI,42.2920487,-83.7515051,2025-08-17T00:00:00.000-04:00,2025-08-17T00:00:00.000-04:00,,https://www.bikereg.com/cxprex-annarbor,Cyclocross,2025-08-17T00:00:00.000-04:00,2025-08-17T00:00:00.000-04:00,https://www.bikereg.com/70482,True,2025-06-11T00:01:00.000-04:00,2025-08-17T17:00:00.000-04:00,"[{'name': 'CXpreX', 'startTime': '2025-08-17T17:00:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}]"
70705,Competitive Edge Racing Weeknight Racing P/B Vanished Valley Brewery,Ludlow,MA,42.1875668,-72.4631394,2025-08-20T00:00:00.000-04:00,2025-08-20T00:00:00.000-04:00,"40 minutes, 30 minutes, 20 minutes",https://www.bikereg.com/competitive-edge-racing-weeknight-racing-pb-vanished-valley-brewery,"Mountain Bike, Cyclocross",2025-06-04T00:00:00.000-04:00,2025-08-20T00:00:00.000-04:00,https://www.bikereg.com/70705,True,2025-04-21T00:15:00.000-04:00,2025-08-20T17:00:00.000-04:00,"[{'name': 'A Race 6/4', 'startTime': '2025-06-04T19:00:00.000-04:00', 'distance': '20', 'RegistrationCount': 1, 'tags': []}, {'name': 'B race 6/4', 'startTime': '2025-06-04T18:15:00.000-04:00', 'distance': '20', 'RegistrationCount': 1, 'tags': []}, {'name': 'C Field ', 'startTime': '2025-06-04T17:30:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}, {'name': 'C Field ', 'startTime': '2025-06-04T17:30:00.000-04:00', 'distance': '20', 'RegistrationCount': 0, 'tags': []}, {'name': 'C Field 6/18', 'startTime': '2025-06-04T17:30:00.000-04:00', 'distance': '20', 'RegistrationCount': 0, 'tags': []}, {'name': 'B race 6/11', 'startTime': '2025-06-04T18:15:00.000-04:00', 'distance': '20', 'RegistrationCount': 0, 'tags': []}, {'name': 'B Race 6/18', 'startTime': '2025-06-04T18:15:00.000-04:00', 'distance': '20', 'RegistrationCount': 4, 'tags': []}, {'name': 'A Race 6/11', 'startTime': '2025-06-04T19:00:00.000-04:00', 'distance': '20', 'RegistrationCount': 0, 'tags': []}, {'name': 'A Race 6/18', 'startTime': '2025-06-04T19:00:00.000-04:00', 'distance': '20', 'RegistrationCount': 0, 'tags': []}, {'name': 'B race 8/6- Cyclocross ', 'startTime': '2025-06-04T18:15:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': []}, {'name': 'B Race 8/13- Cyclocross ', 'startTime': '2025-06-04T18:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': []}, {'name': 'B Race 8/20 Cyclocross', 'startTime': '2025-06-04T18:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': []}, {'name': 'A Race 8/6- Cyclocross ', 'startTime': '2025-06-04T19:00:00.000-04:00', 'distance': '40', 'RegistrationCount': 0, 'tags': []}, {'name': 'A Race 8/13 Cyclocross ', 'startTime': '2025-06-04T18:45:00.000-04:00', 'distance': '40', 'RegistrationCount': 0, 'tags': []}, {'name': 'A Race 8/20 Cyclocross ', 'startTime': '2025-06-04T18:45:00.000-04:00', 'distance': '40', 'RegistrationCount': 0, 'tags': []}, {'name': 'June Season Pass', 'startTime': '2025-06-04T17:00:00.000-04:00', 'distance': None, 'RegistrationCount': 1, 'tags': []}, {'name': 'August Season Pass', 'startTime': '2025-06-04T17:00:00.000-04:00', 'distance': None, 'RegistrationCount': 0, 'tags': []}, {'name': 'Full Year Season Pass ', 'startTime': '2025-06-04T17:00:00.000-04:00', 'distance': None, 'RegistrationCount': 4, 'tags': []}]"
70704,Blunt Park CX p/b Competitive Edge Racing (RVCX Series #1),Springfield,MA,42.1295894,-72.5472416,2025-08-24T00:00:00.000-04:00,2025-08-24T00:00:00.000-04:00,"1 laps, 50 minutes, 45 minutes, 30 minutes",https://www.bikereg.com/blunt-park-cx,"Cyclocross, NEBRA",2025-08-24T00:00:00.000-04:00,2025-08-24T00:00:00.000-04:00,https://www.bikereg.com/70704,True,2025-06-01T00:15:00.000-04:00,2025-08-23T20:00:00.000-04:00,"[{'name': 'Men Cat 4/5', 'startTime': '2024-08-25T09:00:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': ['men', 'cat_4', 'cat_5']}, {'name': 'Masters Men 40+ (Cat 1-4)', 'startTime': '2024-08-25T10:00:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': ['men', 'masters', 'age_40_plus', 'cat_1']}, {'name': 'Elite Men 1/2/3', 'startTime': '2024-08-25T15:00:00.000-04:00', 'distance': '50', 'RegistrationCount': 0, 'tags': ['men', 'elite']}, {'name': 'Men Cat 3/4', 'startTime': '2024-08-25T13:00:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': ['men', 'cat_3', 'cat_4']}, {'name': 'Kids Race U9', 'startTime': '2024-08-25T12:00:00.000-04:00', 'distance': '1', 'RegistrationCount': 0, 'tags': []}, {'name': 'Masters Men 50+ (Cat 1-4)', 'startTime': '2024-08-25T11:00:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': ['men', 'masters', 'age_50_plus', 'cat_1']}, {'name': 'Junior Boys 15-18', 'startTime': '2024-08-25T12:15:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Women Elite 1/2/3', 'startTime': '2024-08-25T14:00:00.000-04:00', 'distance': '50', 'RegistrationCount': 0, 'tags': ['women', 'elite']}, {'name': 'Woman 3/4', 'startTime': '2024-08-25T14:01:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': []}, {'name': 'Masters Men 60+ (Cat 1-4)', 'startTime': '2024-08-25T11:01:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': ['men', 'masters', 'age_60_plus', 'cat_1']}, {'name': 'Men Cat 5/ Novice', 'startTime': '2024-08-25T08:00:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['men', 'cat_5', 'beginner']}, {'name': 'Women Cat 5/ Novice', 'startTime': '2024-08-25T08:01:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['women', 'cat_5', 'beginner']}, {'name': ""Women's Masters (Cats 1-4) 40+, 50+, 60+"", 'startTime': '2024-08-25T14:01:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': ['women', 'masters', 'age_40_plus']}, {'name': 'Junior Boys 13-14', 'startTime': '2024-08-25T12:15:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Junior Girls 13-14', 'startTime': '2024-08-25T12:16:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Junior Girls 15-18', 'startTime': '2024-08-25T12:16:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Junior Girls 9-12', 'startTime': '2024-08-25T12:16:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Junior Boys 9-12', 'startTime': '2024-08-25T12:15:00.000-04:00', 'distance': '30', 'RegistrationCount': 0, 'tags': ['junior']}, {'name': 'Womens 4/5', 'startTime': '2024-08-25T14:02:00.000-04:00', 'distance': '45', 'RegistrationCount': 0, 'tags': []}]"
